subject,trial,state,chosen_color,Q_patternA_white,Q_patternA_black,Q_patternB_white,Q_patternB_black,p_patternA,p_patternB
5b2150d538b0be00014137fb,44,white_high,black,0.011520168183746092,0.774259785625167,0.7540998505701797,0.004983878485293056,0.6735591468220028,0.5470225868640416
5b2150d538b0be00014137fb,45,black_high,black,0.011520168183746092,0.774259785625167,0.7540998505701797,0.0032780966788149455,0.6735591468220028,0.5472778174521739
5b2150d538b0be00014137fb,46,black_high,white,0.011520168183746092,0.7830696291044978,0.7540998505701797,0.0032780966788149455,0.6747278254543283,0.5472778174521739
5b2150d538b0be00014137fb,47,white_high,black,0.007577276447242091,0.7830696291044978,0.7540998505701797,0.0032780966788149455,0.6752501711852565,0.5472778174521739
5d83b53430e67e0018bf3b38,0,white_high,black,0.5,0.5,0.5,0.5,0.3758354590787777,0.6241645409212222
5d83b53430e67e0018bf3b38,1,black_high,white,0.5,0.5,0.5,0.42714104000810504,0.3758354590787777,0.7075875319037302
5d83b53430e67e0018bf3b38,2,white_high,black,0.42714104000810504,0.5,0.5,0.42714104000810504,0.4673392750363831,0.7075875319037302
5d83b53430e67e0018bf3b38,3,black_high,black,0.42714104000810504,0.5,0.5,0.3648989361184112,0.4673392750363831,0.7694620734565999
5d83b53430e67e0018bf3b38,4,black_high,white,0.42714104000810504,0.514571791998379,0.5,0.3648989361184112,0.4861179407220885,0.7694620734565999
5d83b53430e67e0018bf3b38,5,black_high,white,0.3648989361184112,0.514571791998379,0.5,0.3648989361184112,0.5661199307116473,0.7694620734565999
5d83b53430e67e0018bf3b38,6,black_high,white,0.3117266221429385,0.514571791998379,0.5,0.3648989361184112,0.6319887484266776,0.7694620734565999
5d83b53430e67e0018bf3b38,7,black_high,white,0.26630246716069667,0.514571791998379,0.5,0.3648989361184112,0.6846979443856437,0.7694620734565999
5d83b53430e67e0018bf3b38,8,white_high,white,0.22749742555948843,0.514571791998379,0.5,0.3648989361184112,0.726301280864181,0.7694620734565999
5d83b53430e67e0018bf3b38,9,black_high,white,0.22749742555948843,0.514571791998379,0.558287167993516,0.3648989361184112,0.726301280864181,0.8185304889207712
5d83b53430e67e0018bf3b38,10,black_high,black,0.1943469739052927,0.514571791998379,0.558287167993516,0.3648989361184112,0.7590013519965456,0.8185304889207712
5d83b53430e67e0018bf3b38,11,white_high,white,0.1943469739052927,0.5707355887714547,0.558287167993516,0.3648989361184112,0.8080498936503213,0.8185304889207712
5d83b53430e67e0018bf3b38,12,white_high,white,0.1943469739052927,0.5707355887714547,0.578937267108513,0.3648989361184112,0.8080498936503213,0.833843258076983
5d83b53430e67e0018bf3b38,13,black_high,white,0.1943469739052927,0.5707355887714547,0.6257218607297717,0.3648989361184112,0.8080498936503213,0.8646933604483337
5d83b53430e67e0018bf3b38,14,black_high,black,0.16602713711266956,0.5707355887714547,0.6257218607297717,0.3648989361184112,0.8297286970920543,0.8646933604483337
5d83b53430e67e0018bf3b38,15,black_high,black,0.16602713711266956,0.5312845619100917,0.6257218607297717,0.3648989361184112,0.7989713865029542,0.8646933604483337
5d83b53430e67e0018bf3b38,16,black_high,black,0.16602713711266956,0.5850130086144649,0.6257218607297717,0.3648989361184112,0.8398982880701766,0.8646933604483337
5d83b53430e67e0018bf3b38,17,white_high,black,0.16602713711266956,0.5871968818259801,0.6257218607297717,0.3648989361184112,0.8414097189145187,0.8646933604483337
5d83b53430e67e0018bf3b38,18,white_high,white,0.16602713711266956,0.5871968818259801,0.6257218607297717,0.3117266221429385,0.8414097189145187,0.893742435471826
5d83b53430e67e0018bf3b38,19,black_high,black,0.16602713711266956,0.5871968818259801,0.6511173086828745,0.3117266221429385,0.8414097189145187,0.9055746253983468
5d83b53430e67e0018bf3b38,20,white_high,white,0.16602713711266956,0.6036343175739839,0.6511173086828745,0.3117266221429385,0.8524164087998652,0.9055746253983468
5d83b53430e67e0018bf3b38,21,black_high,black,0.16602713711266956,0.6036343175739839,0.6582403927848157,0.3117266221429385,0.8524164087998652,0.9086749240215961
5d83b53430e67e0018bf3b38,22,black_high,black,0.16602713711266956,0.6468201083716794,0.6582403927848157,0.3117266221429385,0.8783400854535649,0.9086749240215961
5d83b53430e67e0018bf3b38,23,white_high,white,0.16602713711266956,0.6837129555614796,0.6582403927848157,0.3117266221429385,0.8972849676928147,0.9086749240215961
5d83b53430e67e0018bf3b38,24,white_high,white,0.16602713711266956,0.6837129555614796,0.6206101398924154,0.3117266221429385,0.8972849676928147,0.8912081307612226
5d83b53430e67e0018bf3b38,25,white_high,white,0.16602713711266956,0.6837129555614796,0.6613222491718547,0.3117266221429385,0.8972849676928147,0.9099876985597597
5d83b53430e67e0018bf3b38,26,black_high,black,0.16602713711266956,0.6837129555614796,0.6815300825705624,0.3117266221429385,0.8972849676928147,0.918181417808403
5d83b53430e67e0018bf3b38,27,black_high,black,0.16602713711266956,0.6715144778013653,0.6815300825705624,0.3117266221429385,0.891329162946298,0.918181417808403
5d83b53430e67e0018bf3b38,28,white_high,white,0.16602713711266956,0.6902371208441814,0.6815300825705624,0.3117266221429385,0.9003502935968957,0.918181417808403
5d83b53430e67e0018bf3b38,29,white_high,white,0.16602713711266956,0.6902371208441814,0.6696496885222734,0.3117266221429385,0.9003502935968957,0.9134502340751133
5d83b53430e67e0018bf3b38,30,white_high,black,0.16602713711266956,0.6902371208441814,0.6595004807832888,0.3117266221429385,0.9003502935968957,0.9092137507654332
5d83b53430e67e0018bf3b38,31,white_high,white,0.16602713711266956,0.6902371208441814,0.6595004807832888,0.26630246716069667,0.9003502935968957,0.9268148308534193
5d83b53430e67e0018bf3b38,32,black_high,black,0.16602713711266956,0.6902371208441814,0.6654019864838915,0.26630246716069667,0.9003502935968957,0.9288562653190471
5d83b53430e67e0018bf3b38,33,black_high,black,0.16602713711266956,0.6042289952975465,0.6654019864838915,0.26630246716069667,0.8528025146516193,0.9288562653190471
5d83b53430e67e0018bf3b38,34,black_high,black,0.16602713711266956,0.5744691709024088,0.6654019864838915,0.26630246716069667,0.8324366525238218,0.9288562653190471
5d83b53430e67e0018bf3b38,35,black_high,black,0.16602713711266956,0.6219048462091084,0.6654019864838915,0.26630246716069667,0.8639011627156356,0.9288562653190471
5d83b53430e67e0018bf3b38,36,white_high,white,0.16602713711266956,0.5895693335851943,0.6654019864838915,0.26630246716069667,0.8430385182486803,0.9288562653190471
5d83b53430e67e0018bf3b38,37,white_high,white,0.16602713711266956,0.5895693335851943,0.6850153290474088,0.26630246716069667,0.8430385182486803,0.9352685247935216
5d83b53430e67e0018bf3b38,38,black_high,black,0.16602713711266956,0.5895693335851943,0.7163424481270199,0.26630246716069667,0.8430385182486803,0.9444039029348756
5d83b53430e67e0018bf3b38,39,white_high,white,0.16602713711266956,0.5765174766008255,0.7163424481270199,0.26630246716069667,0.8339076127076067,0.9444039029348756
5d83b53430e67e0018bf3b38,40,white_high,white,0.16602713711266956,0.5765174766008255,0.6848174765817495,0.26630246716069667,0.8339076127076067,0.9352066103883059
