subject,alpha_0,alpha_1,beta,c_black,log_posterior,log_likelihood,n_trials,n_ooz,n_non_ooz
67d1d172e049a486152a5ce9,0.3410466311687018,0.5277868418973182,0.6694230392196834,-1.3332073611284776,-22.58704618479871,-18.63236836778889,38,13,25
67eb5332af03cf75862d5e87,0.34145881105894704,0.4675157578704567,0.4990027930416892,-0.40628581929084356,-36.522800353521646,-32.5321170022747,48,6,42
67f864f1b7ea815cc3583637,0.4515400736925973,0.4888058424880578,0.8959983166074352,0.5060732667681188,-33.44636870431221,-29.997552793267978,47,9,38
680aac52abce2170943ff846,0.4429559650970733,0.49005188587993886,0.24048233693834917,-0.2297640164155234,-38.24151173402797,-33.717765829522634,48,7,41
68598a1d4cebd213b2abb1d9,0.44135345595755443,0.61674822979242,14.489382017294044,-0.10879897730958088,-8.450011135566877,-3.2238571519911066,48,8,40
68e541cbbf146b5c074849ac,0.19958423256410085,0.4442037894754184,11.267769607911156,3.398542507588,-13.168247059695581,-6.931749203935758,46,13,33
6902584f39b4b2ce82a5eda6,0.16683104470008434,0.45412804138333557,5.7949991912955525,0.6572163363874852,-21.940928424447264,-18.118434900888662,46,11,35
69124176667ec0990dfb9da1,0.6379456586940465,0.46776035897219814,4.259526984075236,2.268728514891321,-16.866587119378536,-13.170796678203562,47,14,33
6917b43630e666e39c18fa7b,0.5139746282771727,0.5066021801055717,0.3695534868097492,0.5027270746010934,-36.42661910306891,-32.27704708759141,48,5,43
692d65c6d41395358622de47,0.45874490212749947,0.45272810752014225,0.392072224203869,0.3749744095554146,-36.305825608971304,-32.20705992830008,47,16,31
692e41b6e14a945652e39997,0.6444221097401597,0.4570292330849504,4.52637375609071,-0.41311863736143023,-17.264092223828325,-14.150977376317643,48,12,36
6932b19c5260dda743fca4af,0.5002268364268311,0.2862098582319849,7.206902177648827,1.3706232810558836,-15.815780922766177,-11.953411211451069,44,14,30
69727a44c5c16e6541319a6a,0.48817184471400754,0.4871436338870202,0.21223057897692482,0.5788691850385611,-36.739587186050024,-32.07727429356454,48,12,36
697a7ca703a2f04efb2de9e9,0.6027135454422126,0.5264084649997257,5.348228490413342,-1.324044692041189,-16.42592773912806,-13.056523303713686,48,10,38
697a8232cf359493f5c6f3fb,0.42338406932464095,0.5005858446664685,0.21195478176556304,-0.38247335665957743,-37.22760982019131,-32.56514867336223,47,16,31
697cbad1e4fa658183a9a4ba,0.44191273729569386,0.49776894292932894,0.16160858999592165,-0.2521525224522517,-38.682221970628824,-33.785838438608415,48,16,32
