subject,trial,V_target,V_distractor,p_target
5dd0dce9ed7ea418f59810e4,16,-0.3186710529362471,0.7112475201824927,0.42970920278741087
5dd0dce9ed7ea418f59810e4,17,0.9001476626356448,0.03967282881811096,0.5588440247719456
5dd0dce9ed7ea418f59810e4,18,0.9281037335577133,-0.06887684035559594,0.5680711545351658
5dd0dce9ed7ea418f59810e4,19,1.0538320185806902,0.8979390274307302,0.5107088187175008
5dd0dce9ed7ea418f59810e4,20,0.29833383949067077,-0.5586876346015676,0.5586100385927409
5dd0dce9ed7ea418f59810e4,21,0.18520587019588625,1.4406716564637703,0.4145901914873674
5dd0dce9ed7ea418f59810e4,22,1.6605071803146947,1.350992666098568,0.5212520426328688
5dd0dce9ed7ea418f59810e4,23,1.1853110573376806,0.13648543116355716,0.5715636456215004
5dd0dce9ed7ea418f59810e4,24,0.554904035604566,1.349887250562225,0.4455977686012057
5dd0dce9ed7ea418f59810e4,25,0.8249517751284076,1.0387581026462525,0.4853148959700044
5dd0dce9ed7ea418f59810e4,26,0.22862160073866322,-0.6682041951813773,0.5613054193749049
5dd0dce9ed7ea418f59810e4,27,0.9236864538626156,1.1730716520361109,0.4828729674174307
5dd0dce9ed7ea418f59810e4,28,-0.11790448913919811,1.3204032216900325,0.40244944582330344
5dd0dce9ed7ea418f59810e4,29,0.47022714533378657,-0.30798792438734357,0.5532635492539283
5dd0dce9ed7ea418f59810e4,30,0.9280430500937875,-0.11224197878305475,0.5709887972595925
5dd0dce9ed7ea418f59810e4,31,0.5931580699630595,0.8919332668372439,0.4794845030563553
5dd0dce9ed7ea418f59810e4,32,0.8790106310880993,1.0186209325452031,0.4904094041410079
5dd0dce9ed7ea418f59810e4,33,1.6503475772085765,0.4843214964331569,0.5794320063383909
5dd0dce9ed7ea418f59810e4,34,-0.3157523191508711,-0.6418536993233432,0.5223894541049972
5dd0dce9ed7ea418f59810e4,35,1.2909129028536777,0.8948501481831161,0.5271842237362852
5dd0dce9ed7ea418f59810e4,36,1.3155265042257112,0.7391134686282461,0.5395192210017936
5dd0dce9ed7ea418f59810e4,37,1.4684304338945022,1.7111173911553652,0.48333263709297514
5dd0dce9ed7ea418f59810e4,38,0.5636362759879054,0.1765642877634554,0.5265683078332916
5dd0dce9ed7ea418f59810e4,39,-0.6443194129809005,-0.19151802489384576,0.46893085894679015
5dd0dce9ed7ea418f59810e4,40,1.5675089843059302,2.047154401931068,0.467094119826535
5dd0dce9ed7ea418f59810e4,41,0.7295360145553359,0.6024335558289532,0.5087315469647614
5dd0dce9ed7ea418f59810e4,42,1.448853169547667,0.4514982155964596,0.5680963989887459
5dd0dce9ed7ea418f59810e4,43,0.1712649044703558,0.985430716295189,0.4442958278384858
5dd0dce9ed7ea418f59810e4,44,-0.2869915475089023,0.009241168704388347,0.47965888980973587
5dd0dce9ed7ea418f59810e4,45,0.4595418193835702,-0.3992194966622787,0.5587279267543465
5dd0dce9ed7ea418f59810e4,46,1.0989188435884258,1.0444547963078774,0.5037418226461978
5dd0dce9ed7ea418f59810e4,47,-0.10126259184552544,0.13737534264785045,0.48361051675777295
5e6473fbc15dbe1f71eea95b,0,0.0,0.0,0.5
5e6473fbc15dbe1f71eea95b,1,0.0,0.0,0.5
5e6473fbc15dbe1f71eea95b,2,0.0,0.0,0.5
5e6473fbc15dbe1f71eea95b,3,0.8907618604021006,1.1394915483083734,0.4774449914434749
5e6473fbc15dbe1f71eea95b,4,0.006781522630471555,-0.10832170290719507,0.510443222826621
5e6473fbc15dbe1f71eea95b,5,1.304500531467683,0.39430475335584425,0.5818502188710175
5e6473fbc15dbe1f71eea95b,6,0.714177047032437,-1.1771606427491674,0.6651874397453558
5e6473fbc15dbe1f71eea95b,7,0.3850602888423788,-0.9080620140992746,0.6152332209781665
5e6473fbc15dbe1f71eea95b,8,1.2275117156798625,1.27323216455859,0.4958513123929032
5e6473fbc15dbe1f71eea95b,9,0.5847019363918904,-0.7411473850517412,0.6180413355247241
5e6473fbc15dbe1f71eea95b,10,-1.1246091295847127,-0.5163814318322331,0.44503104273204797
5e6473fbc15dbe1f71eea95b,11,-0.7136614641291874,0.11629670370946515,0.4252520482395295
5e6473fbc15dbe1f71eea95b,12,0.40512573777121175,0.7094246088685751,0.47241523066560487
5e6473fbc15dbe1f71eea95b,13,-0.03721578419519922,-0.344169489057533,0.5278249356534702
5e6473fbc15dbe1f71eea95b,14,-0.46694536729736236,-0.4142709568986072,0.4952203436879322
5e6473fbc15dbe1f71eea95b,15,0.10474385871826547,0.4623485616458192,0.46759557734357116
5e6473fbc15dbe1f71eea95b,16,1.1744263479679449,-0.4649683179622609,0.6445230925573533
5e6473fbc15dbe1f71eea95b,17,0.10571671471523969,-0.1040649980879432,0.5190269018458372
5e6473fbc15dbe1f71eea95b,18,0.4730193019201323,0.5086368103274086,0.49676802716384977
5e6473fbc15dbe1f71eea95b,19,0.42732235467061563,0.5459781121039509,0.4892345569509022
5e6473fbc15dbe1f71eea95b,20,0.06205516518198623,1.2269664718443225,0.39584038941632677
5e6473fbc15dbe1f71eea95b,21,0.14651741623234343,0.3109340943287844,0.48508486403566203
5e6473fbc15dbe1f71eea95b,22,-0.2665627286003708,-0.3893680598078909,0.5111418045614525
