subject,trial,state,chosen_color,ooz,V_white,V_black,p_black,p_target
615ab5adc70f6edcacba5860,39,black_high,white,1,0.26786755137561324,-5.722195903551177,0.09387074971598931,0.09387074971598931
615ab5adc70f6edcacba5860,40,white_high,white,1,14.132897149751951,-3.6019646061348616,0.006248227643729221,0.9937517723562708
6162fc52fa68079d28dc5be9,0,white_high,black,0,0.0,0.0,0.5628931435806162,0.43710685641938385
6162fc52fa68079d28dc5be9,1,white_high,white,0,0.0,0.0,0.5628931435806162,0.43710685641938385
6162fc52fa68079d28dc5be9,2,black_high,white,0,0.14154982452557813,0.0,0.543169500867928,0.543169500867928
6162fc52fa68079d28dc5be9,3,white_high,white,0,0.8994297954960757,0.0,0.43679753043011765,0.5632024695698823
6162fc52fa68079d28dc5be9,4,white_high,black,0,0.258372406269654,0.0,0.5267859903467511,0.4732140096532489
6162fc52fa68079d28dc5be9,5,black_high,black,0,-0.008843332524857939,0.0,0.5641194613117538,0.5641194613117538
6162fc52fa68079d28dc5be9,6,black_high,white,0,-0.04677590941545777,0.2368665656360155,0.6017649227480325,0.6017649227480325
6162fc52fa68079d28dc5be9,7,white_high,black,0,0.08587895315912561,0.3394509548418796,0.5976952764440465,0.4023047235559535
6162fc52fa68079d28dc5be9,8,black_high,black,0,-0.03461500140876676,0.0963658136477189,0.5809700076406416,0.5809700076406416
6162fc52fa68079d28dc5be9,9,black_high,white,0,-0.0592053402402129,-0.07867326485484658,0.560190807887998,0.560190807887998
6162fc52fa68079d28dc5be9,10,black_high,black,0,0.05712430516900011,-0.07119412363224928,0.5450198974294254,0.5450198974294254
6162fc52fa68079d28dc5be9,11,black_high,white,0,0.03864392484293041,0.29070951098203185,0.5974910432704719,0.5974910432704719
6162fc52fa68079d28dc5be9,12,black_high,black,1,0.004367446814636949,0.33704893491206417,0.6083714140466906,0.6083714140466906
6162fc52fa68079d28dc5be9,13,white_high,white,1,0.2668012964710329,-0.15698324780538692,0.5034975420325016,0.49650245796749837
6162fc52fa68079d28dc5be9,14,black_high,white,1,0.3732655174152576,0.08884798978555346,0.5231242143636557,0.5231242143636557
6162fc52fa68079d28dc5be9,15,black_high,black,1,-0.018604765186738054,0.0815233947859944,0.5767296447354283,0.5767296447354283
6162fc52fa68079d28dc5be9,16,white_high,black,1,1.8249471262580625,0.5313317471159724,0.3831016716274799,0.6168983283725201
6162fc52fa68079d28dc5be9,17,black_high,white,1,-0.21812158279650187,0.07487555839004656,0.6030281200007553,0.6030281200007553
6162fc52fa68079d28dc5be9,18,white_high,white,0,1.5843325646444801,0.28494952989437994,0.382333475595725,0.6176665244042749
6162fc52fa68079d28dc5be9,19,white_high,black,0,0.050039701180095666,0.2696769907605337,0.593086465671983,0.406913534328017
6162fc52fa68079d28dc5be9,20,white_high,white,0,0.010881576190522615,1.3015980373086993,0.7272260043122989,0.2727739956877011
6162fc52fa68079d28dc5be9,21,black_high,black,0,0.8589536799094604,1.2137937497154838,0.6113437813006862,0.6113437813006862
6162fc52fa68079d28dc5be9,22,white_high,white,0,0.5443566476022184,-0.24278804340514482,0.45242803196172604,0.547571968038274
6162fc52fa68079d28dc5be9,23,white_high,black,0,0.7488042574362053,-0.23685581785584073,0.4248769492592653,0.5751230507407348
6162fc52fa68079d28dc5be9,24,black_high,white,1,0.8320693703263596,0.30046607311146445,0.48830318903016595,0.48830318903016595
6162fc52fa68079d28dc5be9,25,white_high,white,0,-0.6944144202505089,-0.35306487376139417,0.6095351239765189,0.3904648760234811
6162fc52fa68079d28dc5be9,26,black_high,black,0,-3.7619991247487583,0.3040786567281152,0.9272564570679758,0.9272564570679758
6162fc52fa68079d28dc5be9,27,black_high,black,0,-4.192768870159841,0.529408775594328,0.9485920866893944,0.9485920866893944
6162fc52fa68079d28dc5be9,28,white_high,black,1,-0.0013212250839308437,-0.5194574194524201,0.4902004342384788,0.5097995657615212
6162fc52fa68079d28dc5be9,29,black_high,black,0,-3.678758888733257,1.0015398456957403,0.9474284447578757,0.9474284447578757
6162fc52fa68079d28dc5be9,30,white_high,white,0,0.41430786946434134,0.7141999789527097,0.603958297157611,0.39604170284238904
6162fc52fa68079d28dc5be9,31,white_high,black,0,0.6831350422706544,0.7238629139127519,0.5685343247599779,0.4314656752400221
6162fc52fa68079d28dc5be9,32,white_high,black,1,0.41741367954509423,-0.46239012280248254,0.439521399848733,0.5604786001512669
6162fc52fa68079d28dc5be9,33,white_high,black,1,0.38748914356400066,-0.3000284476552917,0.46637649213011484,0.5336235078698852
6162fc52fa68079d28dc5be9,34,white_high,white,1,0.4768826590711357,-1.087834882011705,0.34768150345335475,0.6523184965466453
