participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
65feaaac53eb219f09ad5ea0,48,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[[8.04702337622647], [27.395816537124713]]","[[[25.806225743388513]], [[278.14039089952723]]]","[[0.7442915856458806, 0.2557084143541194], [0.09858937414128618, 0.9014106258587138]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-198.08427784934682
65ff850ad8ac7b0e4cf9ec57,48,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[4.30789756823844], [25.859242115344244]]","[[[11.19760598221829]], [[155.70493620983578]]]","[[0.3480235356485043, 0.6519764643514957], [0.05989219313483775, 0.9401078068651623]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-190.16235616900462
660bdc29f5dec2745c7e7ee3,48,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[[5.20904228232609], [18.754055422005305]]","[[[18.545664352949185]], [[14.937588679439903]]]","[[0.5935823297130484, 0.40641767028695175], [0.9999999200836552, 7.991634472814127e-08]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-156.6979587720708
660d675bbdf59327d9deb4ad,48,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","[[15.344301191053543], [43.55657382012053]]","[[[86.95264993676827]], [[273.89818112904976]]]","[[0.6319941182086422, 0.3680058817913578], [0.9999738723085256, 2.6127691474284555e-05]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-195.9368332857413
6613f83d1a9cf059d0af91ec,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[[6.61554288433614], [24.99891767992544]]","[[[23.542869745637837]], [[107.75814487931682]]]","[[0.8816474260451932, 0.11835257395480685], [0.9999950648850159, 4.935114984175811e-06]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-157.41097832616484
6614fb6af3c5aa23b962ea2d,48,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[[11.271200938715856], [33.83927399266239]]","[[[53.470369767925455]], [[441.7506128601335]]]","[[0.7062095535070682, 0.29379044649293184], [0.999999588906883, 4.11093117052088e-07]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-185.83707651301427
6631997e0554bb6d25062fd4,48,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[[4.959626013972586], [23.361556039480487]]","[[[15.95459519464153]], [[58.336265604832384]]]","[[0.8069959634497079, 0.19300403655029222], [0.9999316323584059, 6.836764159402981e-05]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-155.44751948236498
663636e1e732142a9c211523,48,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[[14.67766945372953], [45.50860795155431]]","[[[77.26832690553817]], [[575.9067540755593]]]","[[0.8700679132822082, 0.12993208671779177], [0.9578674735678031, 0.042132526432196796]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-188.30468761444698
664c9a37d570871d534dd3c2,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]","[[15.185230774984914], [53.51938315938148]]","[[[86.75095119396111]], [[707.621641487176]]]","[[0.7862740085332135, 0.21372599146678653], [0.41247548963752617, 0.5875245103624738]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-207.93359295582803
66723b1f7c3cf6961f0868a3,48,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[[9.21209599921241], [22.56586362877245]]","[[[29.298319004482057]], [[29.46339495592522]]]","[[0.653969943225398, 0.3460300567746021], [0.9999999999308335, 6.916634016384243e-11]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-163.7770295418911
