participant_id,n_trials,viterbi_states,means,covars,transmat,state_labels,log_likelihood
660bdc29f5dec2745c7e7ee3,48,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[[5.209026768251742], [18.75403406749002]]","[[[18.54554606159685]], [[14.937661335137365]]]","[[0.5935799854339959, 0.40642001456600424], [0.9999993897368159, 6.10263184077447e-07]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-156.69796254464563
660d675bbdf59327d9deb4ad,47,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","[[15.615113387248257], [41.43995404971261]]","[[[90.06772791930842]], [[285.02479110344143]]]","[[0.6673363690899918, 0.3326636309100082], [0.9999885966663579, 1.1403333642135203e-05]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-190.64329142504155
6613f83d1a9cf059d0af91ec,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[[6.613881869303166], [24.9679574479752]]","[[[23.52940941262796]], [[107.9715909143611]]]","[[0.881320293102646, 0.11867970689735398], [0.9999995326343001, 4.6736569996644797e-07]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-157.41105196489085
6614fb6af3c5aa23b962ea2d,48,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[[11.267361692959664], [33.80954382678065]]","[[[53.42864897864771]], [[441.5262867902921]]]","[[0.7054976856061561, 0.2945023143938438], [0.999997529261221, 2.4707387789647576e-06]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-185.8370099391443
6631997e0554bb6d25062fd4,48,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[[4.9591673084981815], [23.35232850294402]]","[[[15.952930757667165]], [[58.44315357244786]]]","[[0.8068486447682611, 0.19315135523173887], [0.9999392288128512, 6.0771187148729813e-05]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-155.44751381838591
663636e1e732142a9c211523,48,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[[14.67717915907883], [45.503701420934384]]","[[[77.2602932096432]], [[575.8834170622798]]]","[[0.8700453861621286, 0.12995461383787144], [0.9577322470042086, 0.042267752995791365]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-188.3047148043038
664c9a37d570871d534dd3c2,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]","[[15.186738168305236], [53.53407094904012]]","[[[86.7662049302861]], [[707.4306539642486]]]","[[0.7862546968783772, 0.21374530312162282], [0.41280976742982556, 0.5871902325701743]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-207.93357027234404
66723b1f7c3cf6961f0868a3,48,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[[9.21199188600781], [22.565415077969277]]","[[[29.29809637263696]], [[29.4659178937868]]]","[[0.653943780106322, 0.34605621989367796], [0.9999999798339366, 2.0166063461905575e-08]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-163.77702620478547
667a7ab2a6179deb78e9dd1a,48,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[[7.785608022405951], [30.229995734000077]]","[[[34.06865769699423]], [[105.02125540224549]]]","[[0.8348464455691961, 0.16515355443080396], [0.8216528944098764, 0.1783471055901235]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-172.84377928629488
667bd577710d52a05ac09036,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[[20.33108710419622], [55.046738878549384]]","[[[179.72051741026883]], [[1082.048511441108]]]","[[0.9079448554706354, 0.09205514452936465], [0.11373042799179645, 0.8862695720082036]]","{""0"": ""engaged"", ""1"": ""disengaged""}",-216.86568372558648
